Store_Location,Monthly_Sales,Total_Transactions,Total_Revenue,Average_Revenue,Store_Rank
Denver,2025-10,291,47434.75,163.0060,1
Denver,2025-11,189,32879.31,173.9646,2
Denver,2025-01,231,32229.52,139.5217,3
Denver,2025-07,207,31909.02,154.1499,4
Denver,2025-12,216,31561.42,146.1177,5
Greeley,2025-10,192,30881.41,160.8407,6
Denver,2025-08,188,30378.20,161.5862,7
Denver,2025-05,249,29923.56,120.1749,8
Denver,2025-09,163,26624.75,163.3420,9
Denver,2025-03,213,26498.68,124.4069,10
Denver,2025-02,214,26122.33,122.0670,11
Denver,2025-06,247,23831.46,96.4836,12
Greeley,2025-11,129,22069.56,171.0819,13
Denver,2025-04,243,21806.41,89.7383,14
Denver,2023-08,133,21806.26,163.9568,15
Denver,2024-07,133,21806.26,163.9568,15
Greeley,2025-04,184,21637.67,117.5960,17
Littleton,2025-10,108,21562.22,199.6502,18
Denver,2024-08,132,21485.37,162.7680,19
Greeley,2025-05,173,21070.50,121.7948,20
Denver,2023-12,130,20948.11,161.1393,21
Denver,2023-09,128,20945.31,163.6352,22
Greeley,2025-09,131,20734.91,158.2818,23
Denver,2024-11,127,20581.05,162.0555,24
Denver,2022-08,82,20298.26,247.5398,25
Greeley,2025-03,139,20133.89,144.8481,26
"Fort Collins",2025-10,100,19053.15,190.5315,27
Greeley,2025-07,124,18995.83,153.1922,28
Loveland,2025-10,103,18854.17,183.0502,29
Lafayette,2024-01,57,18203.35,319.3570,30
Lafayette,2023-02,53,17682.59,333.6338,31
Greeley,2025-02,120,17664.53,147.2044,32
Sedalia,2025-10,93,17532.49,188.5214,33
Denver,2023-01,125,17440.72,139.5258,34
Denver,2024-12,125,17440.72,139.5258,34
"Castle Rock",2025-10,105,17370.62,165.4345,36
Greeley,2023-08,98,17339.63,176.9350,37
Greeley,2024-07,98,17339.63,176.9350,37
Greeley,2024-10,92,17206.47,187.0268,39
Denver,2023-10,123,17038.64,138.5255,40
Aurora,2025-10,96,16868.16,175.7100,41
Denver,2022-05,89,16862.27,189.4637,42
Berthoud,2025-10,123,16854.32,137.0270,43
"Grand Junction",2025-03,86,16778.63,195.1003,44
Englewood,2025-08,69,16731.90,242.4913,45
Denver,2022-07,95,16689.52,175.6792,46
Greeley,2023-11,88,16656.44,189.2777,47
Greeley,2025-08,110,16648.37,151.3488,48
Denver,2024-01,131,16504.72,125.9902,49
Denver,2024-09,119,16498.58,138.6435,50
Greeley,2023-05,82,16408.02,200.0978,51
Greeley,2024-04,80,16209.80,202.6225,52
Denver,2024-05,138,16137.61,116.9392,53
Denver,2024-03,128,16103.14,125.8058,54
Denver,2023-04,127,16091.14,126.7019,55
Denver,2023-02,121,15986.07,132.1163,56
Denver,2023-07,121,15788.42,130.4828,57
Denver,2023-06,133,15737.10,118.3241,58
Thornton,2025-10,100,15620.15,156.2015,59
Greeley,2025-12,123,15496.70,125.9894,60
Denver,2024-06,116,15387.91,132.6544,61
Sedalia,2025-05,90,15342.53,170.4726,62
Milliken,2025-10,107,15022.92,140.4011,63
Boulder,2025-08,66,14739.46,223.3252,64
Littleton,2025-11,85,14734.17,173.3432,65
Greeley,2025-06,170,14422.26,84.8368,66
Lafayette,2025-10,101,14369.16,142.2689,67
Sedalia,2025-12,76,14360.04,188.9479,68
"Fort Collins",2025-01,66,14334.42,217.1882,69
"Wheat Ridge",2025-10,99,14304.74,144.4923,70
Parker,2025-10,100,14255.53,142.5553,71
"New Castle",2025-10,94,13934.03,148.2344,72
Greeley,2023-01,93,13912.35,149.5952,73
Greeley,2024-12,93,13912.35,149.5952,73
Greeley,2023-07,89,13822.19,155.3055,75
Denver,2022-02,72,13781.66,191.4119,76
Boulder,2025-09,68,13698.19,201.4440,77
Greeley,2024-06,87,13576.25,156.0489,78
Denver,2022-12,94,13542.50,144.0691,79
Aurora,2025-08,60,13447.40,224.1233,80
Boulder,2025-10,89,13367.82,150.2002,81
Aurora,2025-12,79,13366.63,169.1978,82
Littleton,2025-08,80,13192.13,164.9016,83
"Wheat Ridge",2025-05,79,13063.03,165.3548,84
Greeley,2025-01,143,12908.06,90.2662,85
Boulder,2025-07,49,12888.16,263.0237,86
Denver,2022-06,80,12862.59,160.7824,87
Denver,2023-03,101,12828.58,127.0156,88
Denver,2024-10,126,12822.71,101.7675,89
Denver,2024-02,97,12727.96,131.2161,90
Englewood,2025-07,74,12671.07,171.2307,91
Thornton,2025-12,76,12646.59,166.4025,92
Englewood,2025-11,65,12515.97,192.5534,93
Denver,2023-11,123,12455.65,101.2654,94
Greeley,2024-03,91,12436.19,136.6614,95
Denver,2022-11,67,12432.97,185.5667,96
Denver,2023-05,113,12379.16,109.5501,97
Sedalia,2025-07,71,12369.77,174.2221,98
Greeley,2023-12,94,12368.39,131.5786,99
Denver,2024-04,112,12367.16,110.4211,100
"Castle Rock",2025-12,66,12250.19,185.6089,101
Milliken,2025-09,66,12242.58,185.4936,102
Greeley,2023-04,89,12237.97,137.5053,103
"Grand Junction",2025-12,82,12221.92,149.0478,104
Parker,2025-07,55,12103.49,220.0635,105
Greeley,2023-03,82,12084.49,147.3718,106
"New Castle",2025-06,86,12076.04,140.4191,107
"Grand Junction",2025-09,66,12036.54,182.3718,108
Milliken,2025-01,60,12017.09,200.2848,109
Greeley,2022-11,54,12008.24,222.3748,110
"Fort Collins",2025-08,70,11988.03,171.2576,111
Englewood,2025-10,100,11967.82,119.6782,112
Aurora,2025-11,63,11956.57,189.7868,113
"Castle Rock",2025-11,81,11927.00,147.2469,114
Greeley,2024-11,90,11818.36,131.3151,115
Greeley,2022-10,60,11779.21,196.3202,116
Denver,2022-03,58,11652.69,200.9084,117
Loveland,2025-06,91,11593.07,127.3964,118
"Fort Collins",2025-12,73,11576.71,158.5851,119
Aurora,2025-02,51,11562.72,226.7200,120
"Grand Junction",2025-10,92,11509.36,125.1017,121
Aurora,2025-03,73,11385.55,155.9664,122
Thornton,2025-11,74,11358.82,153.4976,123
Loveland,2025-08,66,11261.28,170.6255,124
Greeley,2022-05,63,11248.65,178.5500,125
Greeley,2024-02,78,11240.07,144.1035,126
Sedalia,2025-11,72,11222.20,155.8639,127
Lafayette,2025-12,81,11200.11,138.2730,128
Thornton,2025-01,75,11170.44,148.9392,129
Lafayette,2025-01,77,11143.84,144.7252,130
"Grand Junction",2025-11,63,11054.13,175.4624,131
Parker,2025-12,60,11049.33,184.1555,132
"New Castle",2025-04,82,11038.75,134.6189,133
Englewood,2023-05,40,10998.42,274.9605,134
Lafayette,2025-05,98,10977.65,112.0168,135
Loveland,2025-09,67,10958.75,163.5634,136
Englewood,2025-04,87,10951.21,125.8760,137
Lafayette,2023-05,43,10936.00,254.3256,138
Parker,2025-11,64,10906.35,170.4117,139
"Grand Junction",2025-05,94,10894.67,115.9007,140
"Castle Rock",2024-08,41,10859.79,264.8729,141
