Categoría: Todas las categorías

Región,Hamburguesa: (1/2/24 - 28/2/25)
Dakota del Sur,100
Kansas,94
Montana,91
Oklahoma,91
Arizona,88
Hawái,87
Míchigan,85
Alaska,83
Misuri,83
Oregón,83
Nebraska,83
Carolina del Sur,83
Tennessee,82
Nevada,82
Wyoming,81
Idaho,81
Utah,81
Dakota del Norte,81
Misisipi,81
Iowa,78
Minnesota,78
Texas,77
Wisconsin,77
Colorado,77
Washington,76
Luisiana,75
Indiana,75
Alabama,75
Kentucky,75
Nuevo México,74
Carolina del Norte,74
California,73
Arkansas,73
Ohio,72
Virginia,72
Connecticut,71
Georgia,70
Virginia Occidental,69
Rhode Island,69
Illinois,69
Vermont,69
Maine,69
Pensilvania,68
Delaware,68
Nuevo Hampshire,67
Florida,66
Nueva York,65
Maryland,64
Nueva Jersey,63
Distrito de Columbia,60
Massachusetts,59
