Categoría: Todas las categorías

Región,Batido: (1/2/24 - 28/2/25)
Carolina del Sur,100
Illinois,96
Carolina del Norte,95
Tennessee,95
Alabama,93
Kentucky,92
Indiana,92
Utah,89
Georgia,88
Oklahoma,87
Delaware,86
Ohio,85
Virginia Occidental,85
Rhode Island,85
Pensilvania,85
Nueva Jersey,85
Nevada,84
Arkansas,83
Virginia,83
Connecticut,82
Misuri,81
Florida,81
Míchigan,81
Minnesota,80
Kansas,80
Arizona,80
Misisipi,79
Maryland,79
Texas,78
Idaho,78
Nuevo Hampshire,77
Wisconsin,77
Luisiana,76
Oregón,75
Dakota del Norte,74
Nebraska,73
California,73
Nuevo México,73
Iowa,73
Nueva York,71
Colorado,71
Washington,70
Massachusetts,69
Dakota del Sur,64
Wyoming,61
Hawái,60
Maine,59
Vermont,58
Montana,57
Alaska,56
Distrito de Columbia,52
