OrderID,ProductID,Product,Discount Percent (Fixed)
10250,65,Louisiana Fiery Hot Pepper Sauce,0.15
10250,51,Manjimup Dried Apples,0.15
10251,22,Gustaf's Knäckebröd,0.05
10251,57,Ravioli Angelo,0.05
10252,33,Geitost,0.05
10252,20,Sir Rodney's Marmalade,0.05
10254,24,Guaraná Fantástica,0.15
10254,55,Pâté chinois,0.15
10258,2,Chang,0.2
10258,5,Chef Anton's Gumbo Mix,0.2
10258,32,Mascarpone Fabioli,0.2
10260,41,Jack's New England Clam Chowder,0.25
10260,70,Outback Lager,0.25
10260,62,Tarte au sucre,0.25
10262,5,Chef Anton's Gumbo Mix,0.2
10263,74,Longlife Tofu,0.25
10263,30,Nord-Ost Matjeshering,0.25
10263,16,Pavlova,0.25
10264,41,Jack's New England Clam Chowder,0.15
10266,12,Queso Manchego La Pastora,0.05
10267,76,Lakkalikööri,0.15
10267,59,Raclette Courdavault,0.15
10269,33,Geitost,0.05
10269,72,Mozzarella di Giovanni,0.05
10273,40,Boston Crab Meat,0.05
10273,31,Gorgonzola Telino,0.05
10273,10,Ikura,0.05
10273,76,Lakkalikööri,0.05
10275,24,Guaraná Fantástica,0.05
10275,59,Raclette Courdavault,0.05
10279,17,Alice Mutton,0.25
10284,60,Camembert Pierrot,0.25
10284,67,Laughing Lumberjack Lager,0.25
10284,27,Schoggi Schokolade,0.25
10285,40,Boston Crab Meat,0.2
10285,1,Chai,0.2
10285,53,Perth Pasties,0.2
10287,16,Pavlova,0.15
10287,46,Spegesild,0.15
10288,68,Scottish Longbreads,0.1
10288,54,Tourtière,0.1
10291,44,Gula Malacca,0.1
10291,13,Konbu,0.1
10291,51,Manjimup Dried Apples,0.1
10298,36,Inlagd Sill,0.25
10298,59,Raclette Courdavault,0.25
10303,40,Boston Crab Meat,0.1
10303,65,Louisiana Fiery Hot Pepper Sauce,0.1
10303,68,Scottish Longbreads,0.1
10305,18,Carnarvon Tigers,0.1
10305,39,Chartreuse verte,0.1
10305,29,Thüringer Rostbratwurst,0.1
10314,58,Escargots de Bourgogne,0.1
10314,32,Mascarpone Fabioli,0.1
10314,62,Tarte au sucre,0.1
10324,16,Pavlova,0.15
10324,59,Raclette Courdavault,0.15
10324,35,Steeleye Stout,0.15
10324,63,Vegie-spread,0.15
10327,2,Chang,0.2
10327,58,Escargots de Bourgogne,0.2
10327,30,Nord-Ost Matjeshering,0.2
10327,11,Queso Cabrales,0.2
10329,38,Côte de Blaye,0.05
10329,56,Gnocchi di nonna Alice,0.05
10329,30,Nord-Ost Matjeshering,0.05
10329,19,Teatime Chocolate Biscuits,0.05
10330,26,Gumbär Gummibärchen,0.15
10330,72,Mozzarella di Giovanni,0.15
10332,18,Carnarvon Tigers,0.2
10332,42,Singaporean Hokkien Fried Mee,0.2
10332,47,Zaanse koeken,0.2
10333,71,Flotemysost,0.1
10333,21,Sir Rodney's Scones,0.1
10335,2,Chang,0.2
10335,31,Gorgonzola Telino,0.2
10335,51,Manjimup Dried Apples,0.2
10335,32,Mascarpone Fabioli,0.2
10336,4,Chef Anton's Cajun Seasoning,0.1
10339,17,Alice Mutton,0.05
10340,18,Carnarvon Tigers,0.05
10340,43,Ipoh Coffee,0.05
10340,41,Jack's New England Clam Chowder,0.05
10341,59,Raclette Courdavault,0.15
10342,2,Chang,0.2
10342,31,Gorgonzola Telino,0.2
10342,36,Inlagd Sill,0.2
10342,55,Pâté chinois,0.2
10343,68,Scottish Longbreads,0.05
10344,8,Northwoods Cranberry Sauce,0.25
10346,17,Alice Mutton,0.1
10347,39,Chartreuse verte,0.15
10347,75,Rhönbräu Klosterbier,0.15
10348,1,Chai,0.15
10350,69,Gudbrandsdalsost,0.1
10350,50,Valkoinen suklaa,0.1
10351,38,Côte de Blaye,0.05
10351,44,Gula Malacca,0.05
10351,65,Louisiana Fiery Hot Pepper Sauce,0.05
10352,54,Tourtière,0.15
10353,38,Côte de Blaye,0.2
10353,11,Queso Cabrales,0.2
10357,60,Camembert Pierrot,0.2
10357,10,Ikura,0.2
10358,24,Guaraná Fantástica,0.05
10358,36,Inlagd Sill,0.05
10358,34,Sasquatch Ale,0.05
10359,60,Camembert Pierrot,0.05
10359,31,Gorgonzola Telino,0.05
10359,16,Pavlova,0.05
10361,60,Camembert Pierrot,0.1
10361,39,Chartreuse verte,0.1
10368,28,Rössle Sauerkraut,0.1
10368,21,Sir Rodney's Scones,0.1
10368,64,Wimmers gute Semmelknödel,0.1
10369,56,Gnocchi di nonna Alice,0.25
10370,1,Chai,0.15
